Professor,Course
"Aash, Asmita",CHEM 115 | Comprehensive General and Organic Chemistry
"Aash, Asmita",CHEM 122 | Matter and Energy
"Aash, Asmita",CHEM 123 | Foundations of Chemical Inquiry I
"Abas, Motaz",CLER 620 | Peoria Medicine Clerkship
"Abas, Motaz",MDP 613 | Doctoring Clinical Skills 3
"Abbas, Syed",CS 418 | Introduction to Data Science
"Abbasi, Ismail",CLER 618 | Peoria Pediatrics Clerkship
"Abbott, John",CEES 418 | Germany in Dictatorship &amp; War
"Abbott, John",HIST 100 | Western Civilization to 1648
"Abbott, John",HIST 101 | Western Civilization Since 1648
"Abbott, John",HIST 213 | Europe 1815-1914
"Abbott, John",HIST 214 | Twentieth-Century Europe
"Abbott, John",HIST 399 | Independent Study: Special Topics
"Abbott, John",HIST 418 | Germany in Dictatorship &amp; War
"Abbott, John",HIST 492 | European Intellectual History
"Abbott, John",HIST 596 | Independent Study
"Abboud, Sarah (She/her)",NUEL 399 | Independent Study: Undergraduate
"Abboud, Sarah (She/her)",NUEL 596 | Independent Study: Graduate
"Abboud, Sarah (She/her)",NUPR 593 | Research Practicum
"Abboud, Sarah (She/her)","NURS 517 | Leadership, Policy, and Interprofessional Collaboration: Effecting Change in Complex Health Systems"
"Abboud, Sarah (She/her)",NURS 524 | Foundations for Scholarship
"Abboud, Sarah (She/her)",NURS 574 | Qualitative Research in Nursing
"Abboud, Sarah (She/her)",NURS 592 | Preliminary Exam Preparation
"Abboud, Sarah (She/her)",NURS 599 | PhD Thesis Research
"Abdelzaher, Salma",ECE 465 | Digital Systems Design
"Abeysinghe Arachchilage, Prasadi",CHEM 314 | Inorganic Chemistry
"Abiade, Jeremiah",ENGR 294 | Dusable Scholar I
"Abiade, Jeremiah",ENGR 294 | Dusable Trailblazing Scholar
"Abiade, Jeremiah",ENGR 394 | Dusable Scholar II
"Abiade, Jeremiah",ENGR 394 | Special Topics in Engineering
"Abiade, Jeremiah",ENGR 494 | DuSable Trailblazing Scholar
"Abiade, Jeremiah",IE 380 | Manufacturing Process Principles
"Abiade, Jeremiah",IE 392 | Undergraduate Research
"Abiade, Jeremiah",ME 250 | Introduction to Engineering Design and Graphics
"Abiade, Jeremiah",ME 293 | Special Problems
"Abiade, Jeremiah",ME 380 | Manufacturing Process Principles
"Abiade, Jeremiah",ME 392 | Undergraduate Research
"Abiade, Jeremiah",ME 591 | Mechanical Engineering Internship
"Abiade, Jeremiah",ME 596 | Independent Study
"Abiade, Jeremiah",ME 598 | M.S. Thesis Research
"Abiade, Jeremiah",ME 599 | Ph.D. Thesis Research
"Abid, Farhan",PHYS 141 | General Physics I (Mechanics)
"Abidi, Maryam",TADR 463 | Clinic: Pro Bono Litigation Stat/Civ Class
"Abidi, Maryam",TADR 464 | Clinic: Pro Bono Lit Clinic
"Abidi, Maryam",TADR 465 | Clinic: Pro Bono Litigation Advanced
"Abidi, Maryam",TADR 487 | Clinic: Veterans Class
"Abidi, Maryam",TADR 488 | Clinic: Veterans Clinic
"Abidi, Maryam",TADR 489 | Clinic: Veterans Advanced
"Abokifa, Ahmed",CME 211 | Fluid Mechanics and Hydraulics
"Abokifa, Ahmed",CME 494 | Intro: AI for Civil/Envir ENGR
"Abokifa, Ahmed",CME 494 | Numerical Methods in CME
"Abokifa, Ahmed",CME 591 | Civil and Materials Engineering Internship
"Abokifa, Ahmed",CME 598 | Master&#39;s Thesis Research
"Abokifa, Ahmed",CME 599 | Ph.D. Thesis Research
"Abouelhessen, Tamara",ECE 311 | Communication Engineering
"Abraham, David",IPHS 596 | Independent Study in Public Health
"Abramov, Rafail",MATH 210 | Calculus III
"Abramov, Rafail",MATH 496 | Independent Study
"Abramov, Rafail",MATH 585 | Ordinary Differential Equations
"Abramov, Rafail",MATH 596 | Independent Study
"Abramov, Rafail",MATH 599 | Thesis Research
"Abramov, Rafail",MCS 471 | Numerical Analysis
"Abrams, Charles",BME 599 | Ph.D. Thesis Research
"Abrams, Charles",GEMS 599 | Mentored Research
"Abrams, Charles",NEUS 596 | Independent Study
"Abrams, Charles",NEUS 598 | Master&#39;s Thesis Research in Neuroscience
"Abrams, Charles",NEUS 599 | Doctoral Research in Neuroscience
"Abrego, Tiffany",CLER 618 | Peoria Pediatrics Clerkship
"Abu Naser, Enas",NATS 105 | Physical Systems in Earth and Space Science
"Abu Naser, Enas",PHYS 100 | Preparatory Physics
"Abu Naser, Enas",PHYS 131 | Introductory Physics for Life Sciences I
"Abu Salah, Lo&#39;Ay",ECE 333 | Computer Communication Networks I
"Abu Salah, Lo&#39;Ay",ECE 392 | Undergraduate Research
"Abu Salah, Lo&#39;Ay",ECE 397 | Senior Design II
"Abu Salah, Lo&#39;Ay",ECE 493 | Special Problems
"Abu Salah, Lo&#39;Ay",ECE 596 | Individual Study
"Aburqayeq, Ghassan",ARAB 103 | Intermediate Arabic I
"Aburqayeq, Ghassan",ARAB 104 | Intermediate Arabic II
"Aburqayeq, Ghassan",ARAB 105 | Modern Arab Culture
"Aburqayeq, Ghassan",ARAB 115 | Intensive Elementary Arabic
"Aburqayeq, Ghassan",ARAB 202 | Media Arabic
"Aburqayeq, Ghassan",ARAB 230 | Arabic Literature in Translation
"Aburqayeq, Ghassan",ARAB 299 | Independent Reading
"Acharya, Kruti",AHS 596 | Independent Study
"Acharya, Kruti",AHS 599 | PhD Thesis Research
"Acharya, Kruti",DHD 505 | Leadership Education in Neurodevelopmental and Related Disabilities I
"Acharya, Kruti",DHD 506 | Leadership Education in Neurodevelopmental and Related Disabilities II
"Acharya, Kruti",DHD 589 | Current Research in Disability Studies
"Acharya, Kruti",DHD 593 | Independent Research
"Acharya, Kruti",DHD 596 | Independent Study
"Acharya, Kruti",DHD 597 | Project Research
"Acharya, Kruti",DHD 598 | Master&#39;s Thesis Research
"Acharya, Kruti",DHD 599 | Ph.D. Thesis Research
"Acharyya Chaudhuri, Aindrila",STAT 101 | Introduction to Statistics
"Acharyya Chaudhuri, Aindrila",STAT 130 | Introduction to Statistics for the Life Sciences
"Achinivu-Ibagere, Ezinne",CHE 392 | Undergraduate Research
"Achinivu-Ibagere, Ezinne",CHE 592 | Specialized Problems
"Achinivu-Ibagere, Ezinne",CHE 597 | Project Research
"Achinivu-Ibagere, Ezinne",CHE 598 | M.S. Thesis Preparation
"Achinivu-Ibagere, Ezinne",CHE 599 | Ph.D. Thesis Preparation
